"cust_id"	"sales_total"	"num_of_orders"	"gender"	"per_order"
100287	287.15	2	"M"	143.575
100288	150.26	2	"F"	75.13
100289	123.45	2	"F"	61.725
100290	1166.18	7	"F"	166.597142857143
100291	240.19	2	"F"	120.095
100292	157.04	3	"F"	52.3466666666667
100293	852.6	6	"F"	142.1
100294	86.8	2	"F"	43.4
100295	94.94	2	"F"	47.47
100296	300.76	3	"F"	100.253333333333
100297	287.82	3	"F"	95.94
100298	551.73	5	"F"	110.346
100299	39.67	2	"M"	19.835
100300	38.31	2	"M"	19.155
100301	85.77	1	"M"	85.77
100302	405.72	2	"M"	202.86
100303	124.36	2	"M"	62.18
100304	97.86	3	"M"	32.62
100305	324.27	2	"M"	162.135
100306	60.83	2	"M"	30.415
100307	280.6	1	"F"	280.6
100308	74.76	3	"F"	24.92
100309	52.33	2	"M"	26.165
100310	113.6	2	"M"	56.8
100311	224.09	4	"F"	56.0225
100312	163.25	1	"M"	163.25
100313	80.26	1	"F"	80.26
100314	84.66	2	"F"	42.33
100315	1848.53	5	"M"	369.706
100316	171.46	3	"F"	57.1533333333333
100317	313.23	2	"M"	156.615
100318	338.63	2	"M"	169.315
100319	33.58	2	"M"	16.79
100320	381.54	2	"M"	190.77
100321	140.43	2	"F"	70.215
100322	683.87	3	"F"	227.956666666667
100323	381.51	4	"M"	95.3775
100324	34.47795168	1	"M"	34.47795168
100325	31.83	1	"M"	31.83
100326	87.81	2	"F"	43.905
100327	97.64681089	2	"M"	48.823405445
100328	323.29	3	"M"	107.763333333333
100329	1184.36	8	"M"	148.045
100330	159.28	1	"F"	159.28
100331	508.41	4	"M"	127.1025
100332	344.7	1	"F"	344.7
100333	157.66	1	"M"	157.66
100334	350.87	4	"M"	87.7175
100335	170.36	2	"F"	85.18
100336	312.28	2	"F"	156.14
100337	1641.18	7	"F"	234.454285714286
100338	81.91	1	"M"	81.91
100339	73.02	2	"F"	36.51
100340	166.68	1	"F"	166.68
100341	368.09	2	"F"	184.045
100342	142.52	2	"M"	71.26
100343	92.69697831	1	"F"	92.69697831
100344	790.95	3	"F"	263.65
100345	58.86	2	"F"	29.43
100346	91.48	1	"M"	91.48
100347	155.86	2	"F"	77.93
100348	458.77	1	"F"	458.77
100349	92.95829113	1	"M"	92.95829113
100350	206.53	3	"F"	68.8433333333333
100351	218.07	3	"F"	72.69
100352	66.40117767	2	"M"	33.200588835
100353	81.24	2	"M"	40.62
100354	829.69	6	"M"	138.281666666667
100355	551.07	4	"F"	137.7675
100356	286.71	3	"F"	95.57
100357	471.98	2	"F"	235.99
100358	71.26476967	1	"F"	71.26476967
100359	638.93	6	"M"	106.488333333333
100360	243.98	3	"F"	81.3266666666667
100361	47.33453466	1	"M"	47.33453466
100362	588.32	4	"F"	147.08
100363	112.2	2	"M"	56.1
100364	223.24	2	"F"	111.62
100365	290.21	3	"M"	96.7366666666667
100366	231.71	3	"F"	77.2366666666667
100367	49.25600381	2	"M"	24.628001905
100368	190.96	2	"M"	95.48
100369	101.7	3	"F"	33.9
100370	54.95026286	1	"M"	54.95026286
100371	98.02	2	"M"	49.01
100372	241.61	3	"F"	80.5366666666667
100373	580.64	5	"M"	116.128
100374	269.55	4	"F"	67.3875
100375	37.25552506	2	"M"	18.62776253
100376	104.86	1	"F"	104.86
100377	902.32	5	"M"	180.464
100378	219.5	2	"F"	109.75
100379	729.94	5	"F"	145.988
100380	105.16	2	"M"	52.58
100381	421.87	3	"M"	140.623333333333
100382	98.6	1	"M"	98.6
100383	129.65	2	"F"	64.825
100384	71.80705561	2	"F"	35.903527805
100385	196.51	2	"M"	98.255
100386	249.44	3	"F"	83.1466666666667
100387	370.76	3	"M"	123.586666666667
100388	375.23	3	"M"	125.076666666667
100389	164.34	3	"F"	54.78
100390	646.95	4	"F"	161.7375
100391	289.08	4	"M"	72.27
100392	80.45	1	"F"	80.45
100393	52.47	1	"F"	52.47
100394	69.62	2	"F"	34.81
100395	506.56	5	"F"	101.312
100396	79.6	2	"F"	39.8
100397	49.21	1	"M"	49.21
100398	132.08	2	"F"	66.04
100399	102.53	2	"M"	51.265
100400	90.83	3	"M"	30.2766666666667
100401	193.14	1	"F"	193.14
100402	1160.46	7	"F"	165.78
100403	86.67	2	"F"	43.335
100404	39.93	1	"M"	39.93
100405	55.79	2	"F"	27.895
100406	233.91	1	"M"	233.91
100407	793.39	5	"F"	158.678
100408	44.13	1	"F"	44.13
100409	177.69	2	"M"	88.845
100410	225.38	2	"M"	112.69
100411	243.57	2	"F"	121.785
100412	121.12	1	"F"	121.12
100413	105.11	1	"F"	105.11
100414	33.06	2	"M"	16.53
100415	82.37	3	"F"	27.4566666666667
100416	367.26	1	"M"	367.26
100417	65.99	3	"F"	21.9966666666667
100418	320.7	3	"M"	106.9
100419	129.35	3	"M"	43.1166666666667
100420	327.2	4	"M"	81.8
100421	174.86	3	"M"	58.2866666666667
100422	171	3	"M"	57
100423	46.22	1	"M"	46.22
100424	39.32	2	"F"	19.66
100425	184.26	2	"M"	92.13
100426	838	5	"F"	167.6
100427	242.14	1	"F"	242.14
100428	148.3	1	"M"	148.3
100429	965.25	4	"M"	241.3125
100430	87.59	3	"M"	29.1966666666667
100431	325.17	3	"M"	108.39
100432	66.19	3	"F"	22.0633333333333
100433	36.31	1	"M"	36.31
100434	37.26	1	"F"	37.26
100435	344.5	2	"F"	172.25
100436	216.73	1	"M"	216.73
100437	313.78	2	"F"	156.89
100438	494.12	1	"M"	494.12
100439	43.14	2	"F"	21.57
100440	89.52	2	"F"	44.76
100441	77.80857746	1	"F"	77.80857746
100442	191.89	2	"F"	95.945
100443	184.8	2	"M"	92.4
100444	163.6	1	"F"	163.6
100445	195.04	2	"F"	97.52
100446	98.05	1	"F"	98.05
100447	58.72	3	"M"	19.5733333333333
100448	31.16805691	3	"M"	10.3893523033333
100449	178.06	1	"M"	178.06
100450	221.58	4	"M"	55.395
100451	140.27	3	"F"	46.7566666666667
100452	102.89	2	"M"	51.445
100453	485.52	3	"F"	161.84
100454	2016.62	12	"F"	168.051666666667
100455	52.77	1	"F"	52.77
100456	576.11	6	"F"	96.0183333333333
100457	157.26	2	"F"	78.63
100458	107.98	1	"M"	107.98
100459	1133.4	8	"F"	141.675
100460	51.13	2	"M"	25.565
100461	373.56	4	"M"	93.39
100462	55.65	1	"F"	55.65
100463	39.87	2	"F"	19.935
100464	228.2	1	"F"	228.2
100465	97.58	2	"F"	48.79
100466	447.17	3	"M"	149.056666666667
100467	59.18	2	"M"	29.59
100468	32.53	1	"M"	32.53
100469	178.7	3	"M"	59.5666666666667
100470	352.52	3	"F"	117.506666666667
100471	230.63	2	"F"	115.315
100472	582.35	2	"M"	291.175
100473	38.64	1	"M"	38.64
100474	234.31	3	"M"	78.1033333333333
100475	121.19	3	"F"	40.3966666666667
100476	256.81	1	"F"	256.81
100477	554.85	3	"M"	184.95
100478	105.71	3	"M"	35.2366666666667
100479	93.47	1	"M"	93.47
100480	663.84	3	"F"	221.28
100481	95.88	2	"M"	47.94
100482	83.63	2	"F"	41.815
100483	165.98	1	"F"	165.98
100484	304.63	1	"M"	304.63
100485	68.11	2	"M"	34.055
100486	51.29	1	"M"	51.29
100487	55.81	1	"M"	55.81
100488	75.08389264	1	"F"	75.08389264
100489	127.36	2	"F"	63.68
100490	176.21	1	"M"	176.21
100491	104.19	2	"M"	52.095
100492	31.17	2	"F"	15.585
100493	1406.28	10	"M"	140.628
100494	116.59	2	"M"	58.295
100495	74.78	3	"M"	24.9266666666667
100496	296.2	1	"M"	296.2
100497	1082.74	9	"M"	120.304444444444
100498	80.31	2	"F"	40.155
100499	40.7	2	"F"	20.35
100500	33.82	2	"M"	16.91
100501	87.73	1	"F"	87.73
100502	282.77	3	"F"	94.2566666666667
100503	159.69	1	"F"	159.69
100504	72.88	1	"F"	72.88
100505	102.81	2	"F"	51.405
100506	150.43	1	"M"	150.43
100507	203.48	3	"M"	67.8266666666667
100508	114.4	1	"F"	114.4
100509	71.44066462	1	"F"	71.44066462
100510	500.1	2	"F"	250.05
100511	68.52	2	"F"	34.26
100512	241.71	2	"F"	120.855
100513	52.9	3	"M"	17.6333333333333
100514	56.78	2	"F"	28.39
100515	111.8	2	"M"	55.9
100516	155.08	2	"F"	77.54
100517	342.29	4	"M"	85.5725
100518	62.29	2	"M"	31.145
100519	667.34	3	"M"	222.446666666667
100520	287.92	2	"M"	143.96
100521	54.9	2	"F"	27.45
100522	289.94	3	"M"	96.6466666666667
100523	45.81	1	"M"	45.81
100524	110.47	3	"M"	36.8233333333333
100525	210.57	3	"M"	70.19
100526	123.88	2	"F"	61.94
100527	278.74	3	"M"	92.9133333333333
100528	797.73	3	"M"	265.91
100529	54.61	3	"M"	18.2033333333333
100530	883.65	6	"M"	147.275
100531	88.51	1	"M"	88.51
100532	372.31	2	"M"	186.155
100533	142.86	2	"F"	71.43
100534	512.95	4	"F"	128.2375
100535	161.63	2	"M"	80.815
100536	106.02	2	"F"	53.01
100537	309.02	2	"M"	154.51
100538	982.78	2	"M"	491.39
100539	511.45	4	"F"	127.8625
100540	90.98	3	"F"	30.3266666666667
100541	472.12	4	"M"	118.03
100542	189.36	2	"F"	94.68
100543	84.4	2	"F"	42.2
100544	599.41	4	"F"	149.8525
100545	386.86	3	"F"	128.953333333333
100546	153.89	2	"F"	76.945
100547	272.21	4	"M"	68.0525
100548	331.81	1	"F"	331.81
100549	862.94	3	"M"	287.646666666667
100550	227.01	2	"F"	113.505
100551	107.18	1	"M"	107.18
100552	93.45	1	"F"	93.45
100553	380.54	3	"F"	126.846666666667
100554	566.28	4	"F"	141.57
100555	53.73	2	"F"	26.865
100556	463.6	1	"F"	463.6
100557	790.77	5	"M"	158.154
100558	289.91	2	"F"	144.955
100559	90.17	2	"F"	45.085
100560	107.61	3	"M"	35.87
100561	319.29	3	"M"	106.43
100562	166.21	1	"M"	166.21
100563	41.3	1	"M"	41.3
100564	942.67	5	"F"	188.534
100565	190.05	3	"M"	63.35
100566	191.8	2	"F"	95.9
100567	199.49	1	"M"	199.49
100568	160.48	1	"M"	160.48
100569	345.15	2	"F"	172.575
100570	175.25	3	"M"	58.4166666666667
100571	104.6	3	"F"	34.8666666666667
100572	46.94	2	"F"	23.47
100573	95.01	3	"M"	31.67
100574	50.31	1	"F"	50.31
100575	197.74	2	"F"	98.87
100576	238.88	3	"F"	79.6266666666667
100577	35.55	2	"M"	17.775
100578	46.28	2	"F"	23.14
100579	194.36	3	"F"	64.7866666666667
100580	621.54	4	"F"	155.385
100581	963.15	5	"M"	192.63
100582	197.88	1	"M"	197.88
100583	504.97	3	"F"	168.323333333333
100584	111.16	3	"F"	37.0533333333333
100585	394.44	1	"M"	394.44
100586	476.62	2	"M"	238.31
100587	102.36	1	"F"	102.36
100588	873.21	6	"M"	145.535
100589	491.69	4	"M"	122.9225
100590	80.3	2	"F"	40.15
100591	367.29	3	"M"	122.43
100592	85.89	2	"F"	42.945
100593	53.99	1	"M"	53.99
100594	701.36	4	"F"	175.34
100595	36.69733979	1	"M"	36.69733979
100596	367.32	2	"F"	183.66
100597	141.25	1	"F"	141.25
100598	172.8	2	"F"	86.4
100599	783.15	3	"M"	261.05
100600	116.95	3	"F"	38.9833333333333
100601	50.58	3	"F"	16.86
100602	83.43	3	"M"	27.81
100603	40.36	1	"F"	40.36
100604	102.35	3	"M"	34.1166666666667
100605	30.15	1	"M"	30.15
100606	136.45	3	"M"	45.4833333333333
100607	31.14663724	1	"M"	31.14663724
100608	46.93	1	"F"	46.93
100609	1086.8	5	"F"	217.36
100610	97.99	1	"M"	97.99
100611	105.82	3	"F"	35.2733333333333
100612	394.04	3	"F"	131.346666666667
100613	626.92	4	"M"	156.73
100614	82.41	1	"M"	82.41
100615	182.27	3	"M"	60.7566666666667
100616	137.28	3	"M"	45.76
100617	138.92	2	"M"	69.46
100618	505.15	6	"M"	84.1916666666667
100619	215.16	2	"F"	107.58
100620	860.13	3	"M"	286.71
100621	79.65	2	"M"	39.825
100622	47.65	2	"M"	23.825
100623	72.02	1	"M"	72.02
100624	198.71	2	"M"	99.355
100625	352.41	2	"M"	176.205
100626	55.38	2	"F"	27.69
100627	69.61	1	"F"	69.61
100628	454.98	2	"M"	227.49
100629	314.35	1	"F"	314.35
100630	433.69	3	"F"	144.563333333333
100631	261.25	2	"M"	130.625
100632	192.89	3	"M"	64.2966666666667
100633	88.08	2	"F"	44.04
100634	700.97	5	"M"	140.194
100635	945.51	3	"F"	315.17
100636	57.73	3	"M"	19.2433333333333
100637	66.66	1	"M"	66.66
100638	341.17	2	"M"	170.585
100639	53.24076604	1	"M"	53.24076604
100640	77.23	3	"M"	25.7433333333333
100641	201.73	2	"F"	100.865
100642	806.59	6	"M"	134.431666666667
100643	243.65	2	"F"	121.825
100644	935.42	3	"F"	311.806666666667
100645	95.12071008	2	"F"	47.56035504
100646	97.8328137	2	"F"	48.91640685
100647	228.02	2	"F"	114.01
100648	76.92	2	"F"	38.46
100649	58.23353321	1	"M"	58.23353321
100650	210.7	1	"M"	210.7
100651	332.38	4	"M"	83.095
100652	719.27	4	"F"	179.8175
100653	200.85	4	"F"	50.2125
100654	284.14	3	"F"	94.7133333333333
100655	357.69	4	"F"	89.4225
100656	132.81	3	"F"	44.27
100657	156.31	2	"F"	78.155
100658	234.38	2	"M"	117.19
100659	43.55	2	"M"	21.775
100660	151.09	1	"F"	151.09
100661	300.71	3	"M"	100.236666666667
100662	631.37	3	"M"	210.456666666667
100663	44.93	2	"F"	22.465
100664	152.56	2	"F"	76.28
100665	227.57	1	"F"	227.57
100666	79.38	3	"M"	26.46
100667	485.3	1	"M"	485.3
100668	43.59	1	"F"	43.59
100669	110.05	1	"M"	110.05
100670	179.11	2	"M"	89.555
100671	154	2	"F"	77
100672	220.86	3	"M"	73.62
100673	275.14	2	"M"	137.57
100674	212	2	"M"	106
100675	67.7	2	"F"	33.85
100676	154.83	2	"F"	77.415
100677	214.13	2	"F"	107.065
100678	93.25	3	"F"	31.0833333333333
100679	453.08	4	"F"	113.27
100680	62.97	3	"M"	20.99
100681	40.01	2	"M"	20.005
100682	318.67	4	"M"	79.6675
100683	257	2	"M"	128.5
100684	142.21	1	"F"	142.21
100685	619.89	4	"F"	154.9725
100686	124.24	3	"M"	41.4133333333333
100687	101.43	2	"M"	50.715
100688	240.79	3	"M"	80.2633333333333
100689	57.87	2	"M"	28.935
100690	62.67	2	"F"	31.335
100691	235.52	3	"M"	78.5066666666667
100692	31.1	2	"M"	15.55
100693	64.65	2	"F"	32.325
100694	612.91	5	"M"	122.582
100695	653.24	3	"F"	217.746666666667
100696	884.12	2	"M"	442.06
100697	358.69	3	"M"	119.563333333333
100698	40.6	1	"F"	40.6
100699	48.96	1	"M"	48.96
100700	75.87	2	"M"	37.935
100701	285.85	4	"M"	71.4625
100702	89.8	3	"F"	29.9333333333333
100703	543.81	3	"F"	181.27
100704	258.12	2	"M"	129.06
100705	453.13	4	"M"	113.2825
100706	359.72	2	"F"	179.86
100707	178.83	1	"M"	178.83
100708	84.28	2	"F"	42.14
100709	40.29	2	"M"	20.145
100710	167.67	3	"F"	55.89
100711	118.53	2	"M"	59.265
100712	261.68	3	"M"	87.2266666666667
100713	92	1	"F"	92
100714	56.22	3	"F"	18.74
100715	58.98	2	"M"	29.49
100716	454.56	3	"M"	151.52
100717	558.31	5	"M"	111.662
100718	53.8	2	"F"	26.9
100719	140.74	2	"M"	70.37
100720	406.68	1	"M"	406.68
100721	1568.75	9	"M"	174.305555555556
100722	30.54	2	"F"	15.27
100723	207.01	3	"M"	69.0033333333333
100724	46.32	1	"M"	46.32
100725	277.32	3	"M"	92.44
100726	135.57	3	"M"	45.19
100727	147.36	2	"M"	73.68
100728	123.01	1	"M"	123.01
100729	553.37	3	"M"	184.456666666667
100730	91.52	1	"F"	91.52
100731	132.97	1	"F"	132.97
100732	69.38	1	"M"	69.38
100733	746.41	5	"F"	149.282
100734	126.7	2	"M"	63.35
100735	33.2	2	"M"	16.6
100736	41.6492214	3	"F"	13.8830738
100737	55.06	3	"F"	18.3533333333333
100738	294.73	1	"F"	294.73
100739	90.59	1	"M"	90.59
100740	38.61	1	"M"	38.61
100741	305.49	3	"M"	101.83
100742	88.66	1	"M"	88.66
100743	207.17	3	"M"	69.0566666666667
100744	78.76	2	"F"	39.38
100745	416.12	1	"M"	416.12
100746	156.93	2	"F"	78.465
100747	47.23	2	"F"	23.615
100748	185.53	2	"F"	92.765
100749	147.59	1	"F"	147.59
100750	58.34304227	2	"F"	29.171521135
100751	101.78	3	"M"	33.9266666666667
100752	266.19	4	"M"	66.5475
100753	88.38	2	"M"	44.19
100754	361.51	2	"M"	180.755
100755	379.99	1	"F"	379.99
100756	284.65	2	"F"	142.325
100757	35.96	2	"M"	17.98
100758	32.35	1	"F"	32.35
100759	72.74915621	1	"F"	72.74915621
100760	337.8	2	"F"	168.9
100761	281.79	2	"F"	140.895
100762	384.98	2	"M"	192.49
100763	129.24	1	"F"	129.24
100764	97.48	3	"F"	32.4933333333333
100765	251.69	1	"M"	251.69
100766	274.29	3	"M"	91.43
100767	185.46	2	"F"	92.73
100768	535.98	4	"F"	133.995
100769	283.1	4	"M"	70.775
100770	130.71	3	"F"	43.57
100771	367.74	2	"M"	183.87
100772	141.55	1	"F"	141.55
100773	248.46	2	"M"	124.23
100774	603.75	4	"M"	150.9375
100775	70.28	3	"M"	23.4266666666667
100776	583.64	6	"F"	97.2733333333333
100777	151.73	2	"M"	75.865
100778	962.84	3	"M"	320.946666666667
100779	45.9	2	"M"	22.95
100780	257.89	1	"F"	257.89
