,exercise_text,逻辑,集合,集合概念
32,已知向量则是向量与向量夹角为钝角的充分而不必要条件必要而不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
33,对任意实数给出下列命题是的充要条件是无理数是是无理数的充要条件是的充分条件是的必要条件其中真命题的个数是答案解析,0,1,1
34,是函数在上存在零点的充分而不必要条件必要而不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
35,已知为实数集合则下列命题为假命题的是当时集合是有限集当时集合是无限集当时集合是无限集当时集合是空集答案解析,0,1,1
36,有三个命题若则互为相反数的逆命题若则的逆否命题若则的否命题其中真命题的个数为答案解析,0,1,1
37,是的条件答案充分而不必要解析,0,1,1
38,在空间中若四点不共面则这四点中任何三点都不共线若两条直线没有公共点则这两条直线是异面直线以上两个命题中逆命题为真命题的是答案解析,0,1,1
39,已知集合若是的充分条件求实数的取值范围答案解析,0,1,1
40,集合为实数若则答案解析,0,1,1
41,且那么答案解析,0,1,1
42,设全集则答案解析,0,1,1
43,已知集合则或答案解析,0,1,1
44,已知集合则答案解析,0,1,1
45,已知集合则答案解析,0,1,1
46,设是非空集合定义且已知则等于答案解析,0,1,1
47,已知集合若则实数的取值范围是答案解析,0,1,1
48,已知集合则集合的所有子集是答案解析,0,1,1
49,已知且则的取值范围是答案解析,0,1,1
50,若集合则集合中的元素的个数为答案解析试题分析或或则即故答案选考点集合中元素个数,0,1,1
51,条件条件则是的充分非必要条件必要不充分条件充要条件既不充分也不必要的条件答案解析试题分析不等式的解集为或不等式的解集为故为为则则是的充分非必要条件考点必要条件充分条件与充要条件的判断,0,1,1
52,设集合若则的范围是答案解析试题分析因为根据题意而在数轴上表示可得必有故选考点集合与集合之间关系,0,1,1
53,下面四个条件中使成立的充分而不必要的条件是答案解析试题分析反之例如满足但即推不出故是成立的充分而不必要的条件故选考点充要条件,0,1,1
54,已知空间三条直线及平面且条件甲条件乙则条件乙成立是条件甲成立的充分非必要条件必要非充分条件充分且必要条件既非充分也非必要条件答案解析,0,1,1
55,设集合为函数的定义域集合为函数的值域集合为不等式的解集求若求的取值范围答案或解析,0,1,1
56,已知集合若则的值等于答案解析,0,1,1
57,设为复数集的非空子集若对任意都有则称为封闭集下列命题集合为整数为虚数单位为封闭集若为封闭集则一定有封闭集一定是无限集若为封闭集则满足的任意集合也是封闭集其中真命题有写出所有真命题的序号答案解析,0,1,1
58,设集合若求的值答案或解析,0,1,1
59,设其中如果求实数的取值范围答案或解析,0,1,1
60,是的条件必要不充分充分不必要充分必要既不充分也不必要答案解析试题分析记因为所以是的必要不充分条件选考点充分必要条件,0,1,1
61,命题若则是直角三角形的逆命题否命题逆否命题这三个命题中真命题的个数是答案解析试题分析因为原命题若则是直角三角形是真命题由互为逆否命题的两个命题的真假性相同可知它的逆否命题也是真命题而逆命题为若是直角三角形则这是假命题因为是直角三角形时内角中有一个是直角即可所以不一定是由逆命题与否命题是互为逆否命题的关系所以否命题也是假命题故在逆命题否命题逆否命题这三个命题中真命题的个数只有一个选考点命题真假的判断四种命题及其关系,0,1,1
62,若函数和的定义域值域都是则不等式有解的充要条件是有无穷多个使得答案解析试题分析该题主要考察审题能力及数学文字语言与数学符号语言之间的转化问题依题意只须保证不等式有解而不是有无数解也不是解集为全体实数表示有无数个解表示不等式的解集为选项符合要求故选考点全称量词与存在量词充分必要条件,0,1,1
63,已知集合则答案解析试题分析因为所以考点二次不等式集合的运算,0,1,1
64,下列命题中真命题的有只填写真命题的序号若则是成立的充分不必要条件若椭圆的两个焦点为且弦过点则的周长为若命题与命题或都是真命题则命题一定是真命题若命题则答案解析试题分析对于但因为可能为所以正确对于根据椭圆的定义及标准方程可知且的周长为故不正确对于根据复合命题的真值表可知当为真时为假又或为真所以真所以正确对于根据特称命题的否定为全称命题可知也正确综上可知真命题的序号为考点不等式的性质充分必要条件椭圆的定义逻辑联结词全称命题与特称命题,0,1,1
65,已知命题方程在上有解命题不等式恒成立若命题是假命题求的取值范围答案的取值范围是解析试题分析先考虑命题为真时的取值范围对于真时易知于是得到或求解可得的取值范围对于真时可知求解得到的取值范围然后根据复合命题的真值表由命题或是假命题可知都为假根据为真时的取值范围得到为假时的取值范围取交集即可试题解析若正确易知的解为或分若方程在上有解只需满足或分即分若正确即不等式恒成立则有即得分若或是假命题则都是假命题有分所以的取值范围是分考点二次不等式逻辑联结词命题真假的判断,0,1,1
66,是的条件必要不充分充分不必要充分必要既不充分也不必要答案解析试题分析记因为所以是的必要不充分条件选考点充分必要条件,0,1,1
67,若函数和的定义域值域都是则不等式有解的充要条件是有无穷多个使得答案解析试题分析该题主要考察审题能力及数学文字语言与数学符号语言之间的转化问题依题意只须保证不等式有解而不是有无数解也不是解集为全体实数表示有无数个解表示不等式的解集为选项符合要求故选考点全称量词与存在量词充分必要条件,0,1,1
68,若命题则为答案解析试题分析根据特称命题的否定为全称命题可知的否定为考点全称命题与特称命题,0,1,1
69,给定两个命题对任意实数都有恒成立如果为真命题为假命题求实数的取值范围答案或解析试题分析先分别求出为真时的取值范围对命题恒成立先检验时是否符合要求当时由求解即可从而得到真时的取值范围对命题求得由为真命题为假命题结合复合命题的真值表可知中有且只有一个为真分别求出真假时与假真时的取值范围取两种情况的并集即可确定的取值范围试题解析命题恒成立当时不等式恒成立满足题意分当时解得分分命题解得分为真命题为假命题有且只有一个为真分如图可得或分考点二次不等式逻辑联结词命题真假的判断,0,1,1
70,已知集合答案解析试题分析试题分析解不等式可得然后利用交集知识即可解决考点集合的运算,0,1,1
71,设函数的定义域为值域为则答案解析试题分析的定义域是值域是所以考点函数的定义域与值域,0,1,1
72,是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析试题分析因为所以是的必要不充分条件考点充分与必要条件,0,1,1
73,设全集集合则等于答案解析试题分析由题意知所以正确考点集合之间的关系与运算,0,1,1
74,设函数的定义域为集合函数的定义域为集合其中且当时求集合若求实数的取值范围答案实数的取值范围是解析试题分析先求出集合和集合求出交集即可由可求出取值范围试题解析由或当时由分当时若或解得或故的取值范围是分考点集合之间的关系集合之间的运算,0,1,1
75,已知全集集合则答案解析试题分析由得即由得故选考点绝对值不等式分式不等式交集并集,0,1,1
76,已知集合若对于任意存在使得成立则称集合是垂直对点集给出下列四个集合其中是垂直对点集的序号是答案解析试题分析依题意要使得成立只需过原点任作一直线与该函数的图象相交再过原点作与垂直的直线也与该函数的图象相交即可对取与函数图象没有交点中不是垂直对点集中取与函数图象没有交点中不是垂直对点集作出中两个函数图象知过原点任作一直线与该函数的图象相交再过原点作与垂直的直线也与该函数的图象相交故中的集合是垂直对点集故选考点新概念数形结合,0,1,1
77,下列说法的否定是函数的最小正周期是命题函数在处有极值则的否命题是真命题是上的奇函数的解析式是则时的解析式为其中正确的说法是答案解析试题分析对特称命题的否定为全称命题错因为故其周期为错原命题的逆命题为若则函数在处有极值为假命题由逆命题和否命题同真同假知否命题为假命题对当时所以又为奇函数所以时故填考点命题真假判断特称命题命题的否定,0,1,1
78,已知则答案解析试题分析由交集并集补集的概念可得故选考点交集并集补集,0,1,1
79,下列命题中的假命题是是的充分不必要条件若为假命题则均为假命题答案解析试题分析命题为真命题当时命题为真命题根据指数函数的值域可得为真命题排除法为假命题故选考点特称命题全称命题逻辑连接词命题真假,0,1,1
80,若集合则满足条件的实数有个个个个答案解析,0,1,1
81,设集合则实数的值为答案解析,0,1,1
82,若集合则集合答案解析试题分析作数轴观察易得考点集合的基本运算,0,1,1
83,设条件条件那么是的条件充分非必要必要非充分充分且必要非充分非必要答案解析试题分析因为所以是的充分非必要条件考点充分与必要条件,0,1,1
84,若集合则集合答案解析试题分析故选考点集合的基本运算,0,1,1
85,设条件条件那么是的条件充分不必要必要不充分充要既不充分也不必要答案解析试题分析由于因此是的充分不必要条件考点充分条件与必要条件,0,1,1
86,已知集合答案解析试题分析解不等式可得然后利用交集知识即可解决考点集合的运算,0,1,1
87,已知则是成立的必要不充分条件充分不必要条件充要条件既不充分也不必要条件答案解析试题分析不能推得可以推得所以答案是考点充要条件的判断,0,1,1
88,下列说法使的否定是使函数的最小正周期是在中若则的逆命题是真命题是直线和直线垂直的充要条件其中正确的说法是只填序号答案解析试题分析利用特称命题的否定是全称命题判断的正误函数的周期判断的正误利用函数的单调性判断的掌握通过充要条件判断的正误考点四种命题充要条件三角函数直线的位置关系,0,1,1
89,已知则是成立的必要不充分条件充分不必要条件充要条件既不充分又不必要条件答案解析试题分析不能推得可以推得所以答案是考点充要条件的判断,0,1,1
90,设集合则等于答案解析,0,1,1
91,是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
92,若集合则是的充分非必要条件必要非充分条件充要条件既不充分也不必要条件答案解析,0,1,1
93,已知集合全集则图所示的阴影部分表示的集合为答案解析,0,1,1
94,设则且是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
95,下列命题是真命题的是单位向量都相等若与共线与共线则与共线若则若与都是单位向量则答案解析,0,1,1
96,已知集合则答案解析,0,1,1
97,已知集合则答案解析,0,1,1
98,是函数存在零点的充分不必要条件必要不充分条件充要条件既不充分又不必要条件答案解析,0,1,1
99,已知函数则是奇函数是的充分不必要条件必要不充分条件充分必要条件既不充分也不必要条件答案解析,0,1,1
100,命题所有自然数的平方都是正数的否定为所有自然数的平方都不是正数有的自然数的平方是正数至少有一个自然数的平方是正数至少有一个自然数的平方不是正数答案解析试题分析全称命题所有自然数的平方都是正数的否定为存在型至少有一个自然数的平方不是正数考点全称命题否定,0,1,1
101,是方程表示椭圆的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析试题分析因为方程表示椭圆所以且即且因此是方程表示椭圆的必要不充分条件考点充要关系确定,0,1,1
102,集合集合则等于答案解析,0,1,1
103,已知集合则答案解析,0,1,1
104,若集合则等于答案解析,0,1,1
105,设则有答案解析,0,1,1
106,设全集则答案解析,0,1,1
107,定义集合运算已知则答案解析,0,1,1
108,是的充要条件充分而不必要条件必要而不充分条件既不充分也不必要条件答案解析,0,1,1
109,若命题存在实数使的否定是真命题则实数的取值范围为答案解析,0,1,1
110,设全集是实数集集合则为答案解析试题分析或考点一元二次不等式的解法对数不等式的解法集合的补集交集运算,0,1,1
111,下列命题中正确命题的个数是命题若则的逆否命题为若则设回归直线方程中增加个单位时一定增加个单位若为假命题则均为假命题对命题使得则均有设随机变量服从正态分布若则答案解析试题分析正确设回归直线方程中增加个单位时平均增加个单位若为假命题则至少有一个是假命题正确正确考点命题的否定复合命题的真假判断回归直线方程正态分布逆否命题,0,1,1
112,设全集是实数集集合则为答案解析试题分析或考点一元二次不等式的解法对数不等式的解法集合的补集交集运算,0,1,1
113,下列命题中正确命题的个数是命题若则的逆否命题为若则设回归直线方程中增加个单位时一定增加个单位若为假命题则均为假命题对命题使得则均有答案解析试题分析正确设回归直线方程中增加个单位时平均增加个单位若为假命题则至少有一个是假命题正确考点命题的否定复合命题的真假判断回归直线方程正态分布逆否命题,0,1,1
114,设集合则答案解析,0,1,1
115,命题存在一个无理数它的平方是有理数的否定是答案任意一个无理数它的平方不是有理数解析,0,1,1
116,集合则答案解析,0,1,1
117,若命题使得为假命题则实数的范围答案解析,0,1,1
118,设数列即当时记对于定义集合是的整数倍且求集合中元素的个数求集合中元素的个数答案解析解由数列的定义得所以从而所以集合中元素的个数为先证事实上当时故原等式成立假设时成立即则时综合可得于是由上可知是的倍数而所以是的倍数又不是的倍数而所以不是的倍数故当时集合中元素的个数为于是当时集合中元素的个数为又故集合中元素的个数为,0,1,1
119,已知集合则答案解析,0,1,1
120,已知集合那么集合等于答案解析试题分析画数轴分析可知正确考点集合的运算,0,1,1
121,是的充分不必条件必要不充分条件既不充分也不必要条件充要条件答案解析试题分析令因为集合是集合的真子集所以是的充分不必要条件故正确考点充分必要条件,0,1,1
122,已知函数有两个零点若为真则实数的取值范围为答案解析试题分析因为为真所以为真为假为真时为假时为真且为假则故正确考点命题真假判断函数零点恒成立问题,0,1,1
123,命题的否定是答案解析试题分析特称命题的否定为全称命题考点全称命题和特称命题,0,1,1
124,设集合求集合若不等式的解集为求的值答案解析试题分析先解不等式化简集合画数轴分析可得由不等式的解集可知方程等于的两根再由韦达定理可求的值试题解析解因为分因为的解集为所以的解集为所以和为的两根故解得分考点集合的运算一元二次不等式,0,1,1
125,下列命题中的假命题是答案解析试题分析因为指数恒大于零所以为真因为以为边的直角三角形中所对的角的正切值为所以为真由所以当时因此为真当时所以为假考点全称命题及存在性命题真假判断,0,1,1
126,已知命题方程有两个不相等的实根不等式的解集为若或为真且为假求实数的取值范围答案或解析试题分析研究四种命题关系首先研究各命题为真时的充要条件因为方程有两个不相等的实根所以或又因为不等式的解集为所以其次研究复合命题真假性确定简单命题真假性因为或为真且为假所以与为一真一假对于命题为假的情形取命题为真时范围的补集本题分两组求解取其并集试题解析解因为方程有两个不相等的实根所以或又因为不等式的解集为所以分因为或为真且为假所以与为一真一假当为真为假时当为假为真时综上所述得的取值范围是或分考点四种命题关系二次函数二次方程二次不等式之间关系,0,1,1
127,命题对任意的都有的否定为存在使对任意的都有存在使存在使答案解析试题分析全称命题的否定为特称命题且结论也否定所以正确考点逻辑与命题,0,1,1
128,命题对任意的都有的否定为存在使对任意的都有存在使存在使答案解析试题分析全称命题的否定为特称命题且结论也否定所以正确考点逻辑与命题,0,1,1
129,是方程表示椭圆的充要条件充分不必要条件必要不充分条件既不充分也不必要条件答案解析试题分析方程表示椭圆则解得且所以正确考点椭圆的定义逻辑关系,0,1,1
130,设不等式的解集为函数的定义域为则为答案解析,0,1,1
131,设都是非零实数可能取的值组成的集合是答案解析,0,1,1
132,已知集合集合若命题是命题的充分不必要条件则实数的取值范围是答案解析,0,1,1
133,某班共人其中人喜爱篮球运动人喜爱乒乓球运动人对这两项运动都不喜爱则喜爱篮球运动但不喜爱乒乓球运动的人数为答案解析,0,1,1
134,命题的否定是答案解析试题分析因为命题是全称命题否定应为特称命题其否定为故选考点全称命题的否定,0,1,1
135,已知条件条件若是的充分条件求实数的取值范围答案解析试题分析先求出的等价条件然后利用是的充分条件确定实数的取值范围试题解析是的充分条件解得综上的取值范围为考点必要条件充分条件一元二次不等式的解法,0,1,1
136,是直线和直线互相垂直的充要条件必要而不充分条件充分而不必要条件既不充分也不必要条件答案解析试题分析因为直线的斜率为当直线和直线互相垂直时直线的斜率存在且应为故且即故正确考点两直线垂直斜率间的关系充分必要条件,0,1,1
137,设命题函数的最小正周期为命题函数的图象关于直线对称则下列判断正确的是为真为假为真为假答案解析试题分析函数的最小正周期为故命题假因为所以函数的图象不关于直线对称故命题假故为假故正确考点命题的真假判断正弦函数的周期性余弦函数的对称轴,0,1,1
138,命题使的否定是答案使解析试题分析特称命题的否定为全称命题考点全称命题和特称命题,0,1,1
139,命题若则且的逆否命题是答案若或则解析试题分析原命题若则逆否命题为若则注意且否之后变或考点命题的逆否命题,0,1,1
140,已知函数则是奇函数是的充分不必要条件充分必要条件必要不充分条件既不充分也不必要条件答案解析,0,1,1
141,设点则且是点在直线上的充分而不必要条件必要而不充分条件充分必要条件既不充分也不必要条件答案解析,0,1,1
142,满足且关于的方程有实数解的有序数对的个数为答案解析,0,1,1
143,是为真命题的条件答案充分但不必要解析,0,1,1
144,已知集合则答案解析,0,1,1
145,已知不等式成立的一个充分条件是则实数的取值范围应满足答案或解析,0,1,1
146,已知集合则的充要条件是答案解析,0,1,1
147,已知集合则满足条件的集合的个数为答案解析,0,1,1
148,设是整数集的一个非空子集对于如果且那么是的一个孤立元给定由的个元素构成的所有集合中不含孤立元的集合共有个答案解析,0,1,1
149,若自然数使得作加法运算均不产生进位现象则称为给力数例如是给力数因不产生进位现象不是给力数因产生进位现象设小于的所有给力数的各个数位上的数字组成集合则集合中的数字和为答案解析,0,1,1
150,定义集合的新运算如下或但若集合则等于答案解析,0,1,1
151,设集合则答案解析,0,1,1
152,已知全集为集合则等于答案或解析,0,1,1
153,是曲线过坐标原点的充分不必要条件必要不充分条件充分必要条件既不充分也不必要条件答案解析,0,1,1
154,若集合则的子集个数为答案解析,0,1,1
155,已知集合则是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
156,已知集合若则等于答案解析,0,1,1
157,已知则答案解析,0,1,1
158,设则是的充分而不必要条件必要而不充分条件充要条件既不充分也不必要条件答案解析,0,1,1
159,已知命题命题则下列命题中为真命题的是非非非非答案解析,0,1,1
160,设关于的方程有实根则是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析试题分析一元二次方程有实根是答案是考点一元二次方程根的判定充要条件,0,1,1
161,命题若都是奇数则是偶数的逆否命题是若都不是奇数则是偶数若是偶数则都是奇数若不是偶数则都不是奇数若不是偶数则不都是奇数答案解析试题分析逆否命题就是把原命题的条件与结论同时否定并交换位置都是的否定为不都是答案是考点四种命题,0,1,1
162,已知命题答案解析试题分析根据全称命题否定是特称命题即可考点命题的否定,0,1,1
163,设全集则集合答案解析试题分析因为所以选考点集合的运算,0,1,1
164,下列命题正确的个数是命题的否定是函数的最小正周期为是的必要不充分条件在上恒成立在上恒成立平面向量与的夹角是钝角的充分必要条件是答案解析试题分析命题的否定是为真命题如果函数的最小正周期为那么由得由得其最小正周期为所以是真命题是假命题正确的方法是由可将化为所以原命题等价于的最小值是假命题因为有可能与的夹角是故选考点全称命题与存在性命题充要条件,0,1,1
165,已知集合如果则等于或答案解析试题分析因为如果则等于或选考点集合的运算一元二次不等式的解法,0,1,1
166,设则是且的充分不必要条件必要不充分条件充分必要条件即不充分也不必要条件答案解析试题分析由不能得到且如也满足由且一定可以得到因为故选考点充要条件,0,1,1
167,以下正确命题的个数为命题存在的否定是不存在函数的零点在区间内函数的图象的切线的斜率的最大值是线性回归直线恒过样本中心且至少过一个样本点答案解析试题分析命题存在的否定是所以是假命题由函数零点存在定理知是真命题由得所以是真命题线性回归直线恒过样本中心但不一定经过样本点所以是假命题综上知正确命题的个数为故选考点全称命题与存在性命题函数的零点存在定理回归直线方程导数的几何意义基本不等式,0,1,1
168,设全集集合则集合答案解析,0,1,1
169,下列结论错误的是命题若则与命题若綈则綈互为逆否命题命题命题则为真若则的逆命题为真命题若为假命题则均为假命题答案解析,0,1,1
170,若集合中只有一个元素则等于或答案解析,0,1,1
171,下列说法中正确的是命题若则的否命题为若则命题存在使得的否定是任意都有若命题非与命题或都是真命题那么命题一定是真命题命题若则的逆命题是真命题答案解析试题分析不正确原命题的否命题为若则不正确原命题的否定是任意都有正确因为非是真命题则是假命题又因为命题或是真命题则命题一定是真命题不正确原命题的逆命题为若则例如时考点四种命题及真假判断复合命题的真假判断特称命题的否定,0,1,1
172,过点的直线与双曲线有且仅有一个公共点是直线的斜率的值为的充分必要条件充分但不必要条件必要但不充分条件既不充分也不必要条件答案解析试题分析检验时直线与双曲线相切但直线与双曲线的渐近线平行时与双曲线也有且仅有一个公共点的时候此时故正确考点直线和双曲线的位置关系充分必要条件,0,1,1
173,已知命题存在命题曲线表示焦点在轴上的椭圆命题曲线表示双曲线若且是真命题求的取值范围若是的必要不充分条件求的取值范围答案或或解析试题分析依题意说明命题和命题都是真命题命题为真因二次函数图像开口向上则判别式应大于等于命题为真则两分母均大于且下的分母较大命题是真命题则两分母异号因是的必要不充分条件命题解集是命题解集的真子集试题解析解若为真分解得或分若为真则分解得或分若且是真命题则分解得或分若为真则即分由是的必要不充分条件则可得或分即或分解得或分考点命题的真假判断充分必要条件,0,1,1
174,下列说法错误的是是方程表示双曲线的充分不必要条件命题若则的否命题是若则若命题存在则命题的否定对任意若命题非与命题或都是真命题那么命题一定是真命题答案解析试题分析不正确是方程表示双曲线的充分必要条件故应选考点充分必要条件命题的否命题特程命题的否定复合命题的真假判断,0,1,1
175,已知命题方程表示椭圆方程表示双曲线若或为真且为假求实数的取值范围答案或解析试题分析命题为真则椭圆则两分母均大于且不相等若命题为真则两分母应异号若或为真且为假则命题与命题应一真一假试题解析解若命题为真则解得分若命题为真则解得或分由题意可知命题与一真一假分当真假时则解得分当假真时则解得分综上实数的取值范围或分考点椭圆和双曲线的标准方程复合命题真假判断,0,1,1
176,设关于的方程有实根则是的充分不必要条件必要不充分条件充要条件既不充分也不必要条件答案解析试题分析一元二次方程有实根是答案是考点一元二次方程根的判定充要条件,0,1,1
177,命题若都是奇数则是偶数的逆否命题是若都不是奇数则是偶数若是偶数则都是奇数若不是偶数则都不是奇数若不是偶数则不都是奇数答案解析试题分析逆否命题就是把原命题的条件与结论同时否定并交换位置都是的否定为不都是答案是考点四种命题,0,1,1
178,已知命题答案解析试题分析根据全称命题否定是特称命题即可考点命题的否定,0,1,1
179,已知命题方程表示焦点在轴上的双曲线命题曲线与轴交于不同的两点若为假命题为真命题求实数的取值范围答案或解析试题分析分别求出命题为真命题时的范围根据复合命题真值表可得命题命题一真一假分真假和假真求出的范围再求并集试题解析若真得分若真得或分为假命题也为真命题命题一真一假分若真假分若假真分实数的取值范围为或分考点双曲线的标准方程二次函数的图像简易逻辑关系,0,1,1
180,命题若则的否命题为答案若则解析试题分析否命题是对命题的条件和结论同时否定同时否定和即可考点四种命题,0,1,1
181,设为向量则是的充分不必要条件必要不充分条件充分必要条件既不充分也不必要条件答案解析,0,1,1
182,设集合则等于答案解析,0,1,1
183,命题对任意都有的否定为对任意都有不存在都有存在使得存在使得答案解析,0,1,1
184,是曲线过坐标原点的充分而不必要条件必要而不充分条件充分必要条件既不充分也不必要条件答案解析,0,1,1
185,设函数的定义域为则答案解析,0,1,1
186,下列命题中真命题是的充要条件是是的充分条件答案解析,0,1,1
187,已知集合集合且则答案解析,0,1,1
188,已知函数的定义域为集合函数的定义域为集合当时求若求实数的值答案解析,0,1,1
189,已知若是的充分不必要条件求实数的取值范围答案解析,0,1,1
190,命题命题则与的推出关系是答案解析试题分析由知与的推出关系是考点逻辑与命题,0,1,1
191,下列命题中真命题的是必然事件的概率等于命题若则的逆命题对立事件一定是互斥事件命题相似三角形的对应角相等的逆否命题答案解析试题分析若则的逆命题为若则明显错误为假命题均为真命题考点逻辑与命题,0,1,1
192,已知集合则答案解析试题分析故选考点集合的运算,0,1,1
193,已知集合则下列式子表示正确的有个个个个答案解析试题分析正确错集合间的关系不能用符号是任何集合的子集正确正确故选考点元素与集合的关系集合与集合的关系,0,1,1
194,已知集合若求若求实数的取值范围答案或解析试题分析当时分别出集合或根据结合的运算得出通过数轴得到只要或就能够满足试题解析解当时若则或解得或考点集合的运算,0,1,1
195,命题若则的否命题为答案若则解析试题分析否命题是对命题的条件和结论同时否定同时否定和即可考点四种命题,0,1,1
196,是不等式成立的条件在充分不必要必要不充分充要既不充分又不必要中选一个填写答案充分不必要解析试题分析不等式的解集是根据充要条件和集合的关系可知充分不必要条件考点解一元二次不等式充要条件与集合的关系,0,1,1
197,已知为实数点在圆的内部都有若为真命题求的取值范围若为假命题求的取值范围若且为假命题且或为真命题求的取值范围答案解析试题分析关键在于根据点与圆的位置关系的结论得到不等式关键在于由一元二次函数一元二次不等式一元二次方程的知识可知若都有则对应的二次函数开口向上二次方程的判别式由简易逻辑知识可知与一真一假然后利用集合的运算和解不等式组知识即可解决试题解析由题意得解得故为真命题时的取值范围为分若为真命题则解得故为假命题时的取值范围分由题意得与一真一假从而当真假时有无解分当假真时有解得分实数的取值范围是分考点点与圆的位置关系三个一元二次的关系简易逻辑集合的运算,0,1,1
198,是不等式成立的条件在充分不必要必要不充分充要既不充分又不必要中选一个填写答案充分不必要解析试题分析不等式的解集是根据充要条件和集合的关系可知充分不必要条件考点解一元二次不等式充要条件与集合的关系,0,1,1
199,已知为实数点在圆的内部都有若为真命题求的取值范围若为假命题求的取值范围若且为假命题且或为真命题求的取值范围答案解析试题分析关键在于根据点与圆的位置关系的结论得到不等式关键在于由一元二次函数一元二次不等式一元二次方程的知识可知若都有则对应的二次函数开口向上二次方程的判别式由简易逻辑知识可知与一真一假然后利用集合的运算和解不等式组知识即可解决试题解析由题意得解得故为真命题时的取值范围为分若为真命题则解得故为假命题时的取值范围分由题意得与一真一假从而当真假时有无解分当假真时有解得分实数的取值范围是分考点点与圆的位置关系三个一元二次的关系简易逻辑集合的运算,0,1,1
200,下列命题为真命题的是若为真命题则为真命题是的充分不必要条件命题若则的否命题为若则若命题使则使答案解析试题分析若为真命题则至少有一真命题而为真命题则要求都是真命题所以错的解为或所以对否命题应为若则所以错应改为所以错考点真值表充分必要条件四种命题全称量词的否定,0,1,1
201,用表示非空集合中元素的个数定义若且设实数的所有可能取值构成集合则答案解析试题分析由已知得或当时即由两个相等实根即且没有实根即当时即由两个相等实根即且由两个不等实根或不成立当由两个不等实根即且由两个相等实根所以有个值即选考点二次方程根的个数集合元素,0,1,1
202,集合则答案解析,0,1,1
203,在下列命题中是的充要条件的展开式中的常数项为设随机变量若则其中所有正确命题的序号是答案解析,0,1,1
